"","Country","Year","Unemployment_rate","GDP_constant_billions","GDP_current_billions"
"411","AND",1986,NA,1.35739183739108,0.481996012869071
"412","AND",1987,NA,1.43268802094765,0.611299924540506
"413","AND",1988,NA,1.50567382220799,0.72142593915155
"414","AND",1989,NA,1.57835321330508,0.79548958204491
"415","AND",1990,NA,1.63803686577171,1.02898969206787
"416","AND",1991,NA,1.67974134209472,1.10689136153948
"417","AND",1992,NA,1.69534973448327,1.20999202029543
"418","AND",1993,NA,1.67786246661618,1.00709026986956
"419","AND",1994,NA,1.71784898706999,1.0175440688408
"420","AND",1995,NA,1.76521870060186,1.1787452828678
"421","AND",1996,NA,1.84729675709051,1.22402413921295
"422","AND",1997,NA,2.01480356884039,1.1806455718643
"423","AND",1998,NA,2.07917238013746,1.21195399405714
"424","AND",1999,NA,2.16439929691914,1.23984063957248
"425","AND",2000,NA,2.24076714705822,1.42904788184275
"426","AND",2001,NA,2.4227030474382,1.5469123318807
"427","AND",2002,NA,2.5328479033358,1.7559893539328
"428","AND",2003,NA,2.7530588598714,2.36163623517833
"429","AND",2004,NA,2.97703881811546,2.89504758711888
"430","AND",2005,NA,3.13773329991171,3.15982689150873
"431","AND",2006,NA,3.28861712651463,3.45626432463015
"432","AND",2007,NA,3.33969553772761,3.95239503009698
"433","AND",2008,NA,3.15403563864466,4.08578020287838
"434","AND",2009,NA,2.98678196880057,3.67419006644504
"435","AND",2010,NA,2.92779427937554,3.44992569358181
"436","AND",2011,NA,2.9275580135968,3.62913306255168
"437","AND",2012,NA,2.78192828788297,3.18865325861001
"438","AND",2013,NA,2.68323669687851,3.19351347043941
"439","AND",2014,NA,2.75043743480254,3.27168645247686
"440","AND",2015,NA,2.7898825691005,2.7898825691005
"441","AND",2016,NA,2.89337823093931,2.8966118786258
"442","AND",2017,NA,2.90339139965727,3.00016041463795
"443","AND",2018,NA,2.94951948026811,3.21841863167579
"444","AND",2019,NA,3.00896845049925,3.15515025591195
"445","AND",2020,NA,2.67244722631612,2.89100246029153
"446","AND",2021,NA,2.893918267005,3.32514369328714
"447","AND",2022,NA,3.14886029301515,3.35203109422914
"448","AND",NA,NA,NA,NA
"449","ARB",1960,NA,NA,NA
"450","ARB",1961,NA,NA,NA
"451","ARB",1962,NA,NA,NA
"452","ARB",1963,NA,NA,NA
"453","ARB",1964,NA,NA,NA
"454","ARB",1965,NA,NA,NA
"455","ARB",1966,NA,NA,NA
"456","ARB",1967,NA,NA,NA
"457","ARB",1968,NA,NA,35.1029179603088
"458","ARB",1969,NA,NA,38.2499203791188
"459","ARB",1970,NA,NA,43.2459675410343
"460","ARB",1971,NA,NA,49.9801957546625
"461","ARB",1972,NA,NA,59.5934790165992
"462","ARB",1973,NA,NA,75.6148290992822
"463","ARB",1974,NA,NA,143.722246048169
"464","ARB",1975,NA,573.10410044262,158.82061345128
"465","ARB",1976,NA,663.316991439986,197.69382243977
"466","ARB",1977,NA,717.532740855769,228.193318228003
"467","ARB",1978,NA,713.24039631639,252.397273549797
"468","ARB",1979,NA,791.995234215956,341.727182381657
"469","ARB",1980,NA,864.260589676664,464.922706719985
"470","ARB",1981,NA,893.483749316589,480.094377493219
"471","ARB",1982,NA,819.558032808657,449.527418217136
"472","ARB",1983,NA,768.749851904463,423.119939334202
"473","ARB",1984,NA,779.076976015756,430.640108344537
"474","ARB",1985,NA,763.315718256654,424.154835582947
"475","ARB",1986,NA,796.653312853263,411.512791338673
"476","ARB",1987,NA,796.133241991142,445.512045932976
"477","ARB",1988,NA,842.097637283164,429.625737199947
"478","ARB",1989,NA,860.960870383334,460.896461734439
"479","ARB",1990,NA,965.012357881505,651.231622555595
"480","ARB",1991,NA,988.429620087868,480.685955944023
"481","ARB",1992,NA,1039.25356559845,485.480997990055
"482","ARB",1993,NA,1071.78846007047,499.34473336461
"483","ARB",1994,NA,1107.53747495564,531.889376829679
"484","ARB",1995,NA,1141.05004062307,564.846181458454
"485","ARB",1996,NA,1195.15566165931,615.16837920027
"486","ARB",1997,NA,1251.75233960014,662.599381239788
"487","ARB",1998,NA,1315.60476034363,649.474839551
"488","ARB",1999,NA,1340.07042757315,717.78350646008
"489","ARB",2000,NA,1428.34986178264,820.573600760516
"490","ARB",2001,NA,1453.2476624405,803.225963243441
"491","ARB",2002,NA,1463.75412800124,808.316115359456
"492","ARB",2003,NA,1535.70242172425,894.211049434972
"493","ARB",2004,NA,1671.36520580163,1063.19967333665
"494","ARB",2005,11.1738888833477,1763.32256458409,1304.9609567547
"495","ARB",2006,10.2703840035187,1871.26720922019,1546.22084567146
"496","ARB",2007,9.61351496160808,1956.42867167001,1798.72374733116
"497","ARB",2008,9.86611923285515,2064.73744853479,2264.02545157468
"498","ARB",2009,9.4671452803486,2072.17082470967,1987.92842195415
"499","ARB",2010,9.20955005998673,2169.84741870144,2346.08852505308
"500","ARB",2011,NA,2244.31908639957,2567.29212804955
"501","ARB",2012,10.5607422381452,2350.47414431723,2802.93079851845
"502","ARB",2013,NA,2412.02858560142,2860.92854766476
"503","ARB",2014,10.7215645603588,2470.71913663647,2907.24517694427
"504","ARB",2015,NA,2555.80608929493,2555.80608929493
"505","ARB",2016,9.62934912767634,2650.01542825858,2539.39362457997
"506","ARB",2017,NA,2682.86097686116,2639.75481307527
"507","ARB",2018,NA,2748.27517487663,2845.89841915044
"508","ARB",2019,NA,2785.64557383097,2871.65477180332
"509","ARB",2020,NA,2645.01824396968,2535.5085493073
"510","ARB",2021,NA,2743.74740017393,2930.48038071833
"511","ARB",2022,NA,2909.30054769574,3543.33978530604
"512","ARB",NA,NA,NA,NA
"513","ARE",1960,NA,NA,NA
"514","ARE",1961,NA,NA,NA
"515","ARE",1962,NA,NA,NA
"516","ARE",1963,NA,NA,NA
"517","ARE",1964,NA,NA,NA
"518","ARE",1965,NA,NA,NA
"519","ARE",1966,NA,NA,NA
"520","ARE",1967,NA,NA,NA
"521","ARE",1968,NA,NA,NA
"522","ARE",1969,NA,NA,NA
"523","ARE",1970,NA,NA,NA
"524","ARE",1971,NA,NA,NA
"525","ARE",1972,NA,NA,NA
"526","ARE",1973,NA,NA,NA
"527","ARE",1974,NA,NA,NA
"528","ARE",1975,1.96,57.430272383951,14.7207282485355
"529","ARE",1976,NA,66.9216910918597,19.2131587787928
"530","ARE",1977,NA,81.2692534005245,24.8717751646043
"531","ARE",1978,NA,79.9773946503986,23.7757642246832
